"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,415000,419000,425000,429000,425000,419000,409000,410000,419000,419000,439999,439000,449000,439000,449992.5,469000,497000,535000,525000,525000,520000,535000,529000,540000,585000,559000,560000,585000,599000,588000,599000,599500,648000,668000,659000,670000,745000,749000,699999,760000,709000,715000,718800,699000,699000,716000,725000,719000,715000,735000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,539000,529000,540000,539000,565000,574999,579000,589000,579000,579600,579000,569000,525000,535000,574999.5,599000,619000,636790,645000,640000,644987.5,645000,649000,649000,649000,650000,665000,675000,695000,690000,699000,699000,699000,699000,699000,709000,699900,704000,708950
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,215000,205000,229900,248000,259000,259900,265000,265000,258938.5,250000,249900,239000,228900,224900,239000,250000,254900,259500,259000,255000,249900,249900,246900,240000,235000,235000,249000,264900,273950,275000,275000,270000,269000,270000,269900,265000,250000,255000,275000
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309000,315000,325000,319900,314999,325000,325000,325000,329000,329000,333606.5,335000,329900,334900,329950,329900,330000,329000,329000,323990,317375,315000,309995,301990,309900
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,142500,139900,139900,149900,159900,159900,159900,153900,149900,149900,149750,144900,134900,138500,144900,150000,159900,161900,159900,155000,150000,149900,149999,149900,143900,139900,139900,149700,155000,159900,159900,156900,150000,152000,158950,150000,149900,150000,150000
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,190000,189900,195000,2e+05,209000,214900,217500,215000,215000,219900,220000,214400,202990,219000,225000,230000,238637,240000,240000,235000,240000,240000,242955,245000,240218.5,245000,249900,250000,259500,259900,259900,255990,254000,250000,250000,249900,249200,249900,254900
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,170000,170000,175000,179000,179948,182500,180000,190000,195000,195000,189900,190000,190000,199900,201500,208000,215000,215000,215000,216999,219900,219900,219999,220000,219900,219000,220000,225000,229000,234900,237000,239000,240000,241000,244000,244900,247582,249996.5
"San Antonio","TX","San Antonio","Bexar",8,137500,139900,140000,143000,144000,145500,144900,144500,150041,149999,144970,144000,144900,145000,144500,145000,149900,150990,149900,144900,137995,137500,135000,132500,135000,134990,136997.5,136000,138000,142400,141283.5,142750,141995,145000,159900,159900,160900,167575,169900,173000,175000,178000,179000,179900,183000,185064.5,184900,187990,187957,189900,195000,195000,2e+05,198500,195900,199999.5,195900,193400,193000,199900,204900,209992.5,210000,220000,220000,225000,229517.5,229000,232000,228000,227500,227490,228000,216990,221000,222490,222995,225000,225000,225000,220000,224900,225073,220000,224495,227947.5
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459900,465000,464500,475000,480000,499900,470000,499000,525000,519900,515000,510000,520000,499000,499900,515000,540000,559000,575000,539900,575000,575000,575000,580000,584900,599000,589900,599000,599900,619000,629000,628000,629000,624900,615000,610000,6e+05,610000,619000,625000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247999,244995,227000,230000,245000,259900,269000,252500,259949.5,284900,255000,260000,249900,245900,250000,274900,289000,296000,299900,299900,293000,295000,314500,319900,324900,315000,315000,327353,350000,360000,365000,369000,374900,364900,369900,369000,369000,350000,358000,378500
