"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3"
"00000","United States",12736291,12896006,13126480,13301844,13567564,13717577,13825350,13982428,14147927,14336405,14482806,14597471,14578856,14722003,14750202,14455348,14287426,14242156,14284750,14466139,14579073,14784619,14952355,15123078,15128719,15349070,15474084,15672175,15860001,16008016,16113941,16183016,16360786,16426654,16634793,16884998,16910020,17170221,17453741,17576210,17667380,17881439,18024665,18105113,18163446,18331223,18555365
"01000","Alabama",153332,155940,157437,160293,161934,163974,165470,166495,166821,169261,171456,172156,171941,174068,174268,170307,168708,167954,168176,168420,170249,173562,177097,177933,176898,179679,181916,184166,185386,187043,185204,185881,189267,188806,190907,191402,190419,193305,196888,197070,197479,199018,200942,201185,202474,204120,206360
"02000","Alaska",37517,38907,40691,43138,42872,44653,45349,45840,46658,48964,49866,51298,52981,56566,58266,54032,51403,50044,49377,51027,52405,53656,54691,55785,55341,58985,59197,61514,60746,61464,61013,60338,60640,59266,60215,58926,59000,58756,58294,56961,53364,53915,52493,51216,50008,50961,51541
"04000","Arizona",218206,224496,231629,235099,241787,244659,250886,256505,258078,261929,265506,262668,261073,258886,256740,250176,245502,240962,239957,243615,240641,244531,247497,250002,249300,251590,254563,261316,262907,266124,264589,265150,267123,268916,271437,275091,275819,278025,282966,283856,286045,289694,292221,295652,296101,299809,303007
"05000","Arkansas",88446,89264,90515,93050,93413,95259,95481,95203,94289,95951,96938,102358,98133,100673,101098,99447,99848,96214,97177,98842,98981,102666,104749,105408,105323,107018,108065,108743,109229,109741,109308,108626,113641,113827,114968,115080,116101,117503,118454,119357,116930,118707,119997,119994,121167,122230,123100
"06000","California",1722091,1747827,1787427,1809426,1857944,1865835,1886549,1907754,1915172,1943318,1968297,1999304,1969526,2005086,2012734,1948359,1938823,1907183,1894692,1907762,1928260,1950203,1967595,2017485,2014516,2032685,2043257,2054729,2091635,2115962,2136531,2180669,2170092,2191727,2231635,2302379,2295017,2332968,2380773,2394469,2438787,2475826,2492851,2517930,2536893,2562217,2589628
"08000","Colorado",216906,218710,222780,223421,229476,229632,234160,234411,237933,243280,247322,255261,251670,257595,258669,251202,248909,244452,246731,248988,249290,250650,254041,259518,258243,261335,264124,267174,268968,272522,273290,276415,282522,283663,288029,292788,296615,302074,308529,312554,309638,314149,315224,315983,316443,319939,325447
"09000","Connecticut",207262,210134,210233,213052,221025,220596,220677,223380,235095,235995,237915,237555,245831,241824,238626,226564,232647,232710,233319,235570,230885,234735,235592,236901,232050,235498,234374,235009,237916,238556,239699,241676,238625,238054,242026,244296,241687,243255,246755,248942,249397,252741,253666,255914,255461,257822,261041
"10000","Delaware",52121,51156,51480,58232,55333,56670,56397,55606,56466,58277,57008,56120,55235,55391,55363,55183,57175,57648,57713,56863,57264,56786,57523,58313,58630,59724,60940,60455,61155,60932,60679,59748,59593,60144,60767,63267,63426,65139,66433,66678,67926,68751,69043,69176,69937,70736,71882
"11000","District of Columbia",82522,83530,83845,84446,86260,86981,89166,87577,90741,91500,94786,94357,97179,97131,97553,97624,97631,98884,98173,98972,101671,103629,104170,105854,106459,107511,108564,108420,108982,110257,109925,109576,110898,111282,111933,113492,115693,115337,116679,118075,120645,122217,122571,123149,125414,126484,128063
"12000","Florida",680384,690146,713393,717145,733443,740698,747163,763377,760435,767689,778084,773060,757700,754951,747901,732730,727405,718049,715493,726073,723043,732815,739538,744994,731684,742582,742814,748739,758136,759475,770861,768070,782485,784270,795579,810022,813857,827832,840105,851683,868555,879286,894388,910118,913289,922577,933806
"13000","Georgia",382630,385693,389084,395960,398352,401421,406890,410161,409825,416898,420611,423467,411702,414060,414741,406964,404538,405443,403471,404847,405368,410066,414242,420263,417291,421802,427153,430259,432917,439191,442466,441659,450066,448827,451958,459935,461314,469805,478529,484600,487445,494747,502352,507233,519628,522384,528111
"15000","Hawaii",57292,57899,58808,60292,60789,61704,62641,63080,63904,64263,65917,66755,66751,67311,66700,66007,65809,65349,65050,65319,67361,67608,68941,68989,69670,69649,69790,70957,71949,72640,73077,72463,74369,74221,74394,75629,75297,76244,77234,77577,79159,80028,80773,81543,82856,83307,84065
"16000","Idaho",46081,46552,47671,48399,49746,51212,51166,52504,53374,54183,54760,55712,55518,56396,56541,54958,54692,53254,53742,53841,54909,54713,55352,56058,55768,56500,56990,57717,57285,57918,58863,58353,60222,60633,61058,61963,61842,62663,63289,64407,64663,65356,66124,66053,66467,67280,68158
"17000","Illinois",578667,582842,591622,592637,615525,616144,620846,632411,640519,644089,649526,652527,642730,644785,646093,637184,632361,638849,636455,644462,638410,649637,660187,665670,665187,677956,683768,692193,709124,713458,714873,708025,719052,716504,720200,735188,729302,742655,751996,759285,767643,770572,784199,785112,791714,797637,805876
"18000","Indiana",241447,244158,247138,248044,252329,255039,257997,260372,263018,269489,273072,275401,275068,275421,274287,269123,259425,258204,261005,269638,273526,280731,285959,288820,286385,289780,293101,297014,297158,301557,302226,299045,311398,308664,311436,313828,318555,322171,327867,331011,329659,335334,337821,341399,341485,344225,348046
