"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,395000,380000,389999,399000,417000,419900,425000,425000,424500,418000,410000,399746,379900,395000,405000,419900,425800,439900,448000,439900,448000,449000,449000,448000,439900,439000,449000,458900,469500,475000,479900,479950,475000,475000,475000,470000,460000,460900,473900
"Texas",2,158700,159900,159965,162500,162900,164500,160000,161475,169999,169500,165900,162000,159950,159900,159900,159900,164900,167500,165950,163000,157000,156900,155000,154900,155000,155999,158490,159900,159900,162500,159999,159900,159000,159900,174900,175000,174990,179900,184000,187000,189900,190000,190000,189900,191340,194900,190000,192890,191641,197950,2e+05,209900,215000,212900,214000,219000,217990,216497.5,217431.5,224000,225000,232807.5,239000,244000,243700,244900,245000,247990,249000,249900,249900,253990,250000,244900,249900,250000,254173,255000,255000,254178,250000,255000,250000,249900,249900,254100
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304900,309000,319000,321900,319000,315000,299900,299000,294000,295000,299000,304250,3e+05,310000,325000,325000,325500,329000,330000,325000,319999,319900,323990,320000,319900,329000,329900,334900,329999,329990,338945,329000,320000,319000,323900,320000,319999,337212,340000,339000,349900,349000,349000,329900,327900,329000,329000,338500,336900,349000,350000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,2e+05,199900,205000,209000,210000,209900,205000,214900,215000,216964,215900,217500,215180,219900,225000,225000,224900,226500,229000,229500,237000,239900,240000,249000,249405,249000,249900,250000,259000,256000,258000,258114.5,254900,259000,259900,260000,263000,269500,272900
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155000,164900,171900,179900,186900,189900,189000,185000,181900,179900,175000,169900,169500,175000,185000,189900,199900,199900,199000,194900,189900,189900,185000,179900,179900,185000,198000,204000,209500,209000,202990,199000,199000,195000,189900,184900,184400,194900
"Pennsylvania",6,163500,165500,169900,169900,169900,169900,169900,169900,169900,169000,165000,163900,160000,164900,160000,159900,159900,159900,165000,159900,155000,159900,159900,157001,159000,159000,159500,159900,159900,159900,155450,150000,149900,149900,164900,160000,162500,167000,169900,171900,179500,179900,175000,169900,170000,169900,169000,173900,168000,169650,172000,179900,179999,180000,179000,175000,175000,175000,170000,169000,169000,169900,175000,179900,184900,181000,179900,175000,179900,174900,174500,169900,167500,165000,174900,177275,179900,183920,179000,174900,175000,179000,174900,169900,169900,174000
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,120000,119900,124000,128000,129900,134900,135000,134900,132837.5,129900,129900,127000,124900,124999.5,129900,132000,135000,138900,139000,139000,136000,135000,132900,130000,129000,129900,129900,134500,139900,142000,144500,144900,139900,139900,139900,137500,134900,134900,135000
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,119900,117500,119900,124900,129900,135000,139000,139000,138900,135000,133900,128000,123000,124900,129000,130000,137000,139900,144900,144900,142500,139900,139500,136450,132500,129900,129900,136500,140000,149500,149900,149900,149900,149900,149900,145900,144900,140000,147900
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,172800,171500,169900,165000,162000,166900,172900,179000,179900,184900,184900,180000,179900,178937,175000,169900,174900,178500,179900,182990,185000,187500,188755,189900,189900,188900,187000,187500,187500,185000,189900,197931,199999,204900,205000,2e+05,2e+05,2e+05,199900,199900,199900,2e+05
"North Carolina",10,185000,187690,189000,189000,186900,185000,183900,179900,184800,178000,174900,169900,165900,165000,165000,165000,169500,169900,170000,169900,168900,167000,164900,164000,169900,169900,169900,169900,169000,166990,165900,165000,163700,164900,179900,179900,179900,184500,187500,189900,194775,199000,195941,195000,195000,195000,189900,194000,189000,189900,195000,198500,199900,199900,199900,199900,199500,199000,198900,195000,195990,199900,199900,205000,214847.5,215000,215000,215000,215000,215000,214900,212450,215000,217900,219900,225000,227000,227999,229000,227900,226500,229000,225400,225500,225000,227900
