"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02"
"California",1,,,2400,2400,2400,2495,2500,2600,2495,2400,2300,2400,2055,2095,2050,2100,2100,2100,2000,1995,1900,1900,1875,1850,1825,1800,1850,1795,1750,1800,1795,1750,1795,1775,1750,1700,1730,1750,1750,1750,1750,1750,1750,1695,1800,1895,1825,1900,1900,1850,1850,1850,1999,2000,2000,2050,2100,2075,2095,2100,2100,2100,2100,2200,2200,2250,2295,2300,2300,2300,2300,2300,2300,2350,2400,2395,2395,2395,2400,2380,2395,2350,2400,2300,2400,2500
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1010,1055,1059,1133,1131,1204,1175,1195,1245,1250,1250,1250,1250,1250,1275,1300,1350,1350,1375,1375,1350,1350,1350,1350,1350,1375,1395,1400,1425,1450,1450,1445,1400,1400,1400,1400,1400,1400,1447,1400,1400,1420,1430,1412,1400,1395,1400,1375,1425,1450
"New York",3,,,,,,,,,,,,,2895,2750,2889,3000,3000,3000,2950,2900,2800,2725,2700,2700,2550,2725,2650,2675,2750,2700,2700,2700,2700,2750,2750,2800,2800,2800,2800,2850,2900,2850,2750,2800,2850,2895,2900,3000,3000,3000,2950,2900,3000,3100,2975,2950,2900,2850,2850,2886,3000,3000,3000,3150,3000,3100,3200,3200,3195,3100,3100,3200,3200,3195,3200,3295,3300,3095,3000,3000,2950,2975,2895,2850,2899,2995
"Florida",4,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1450,1450,1450,1400,1400,1400,1385,1400,1450,1400,1400,1450,1408,1450,1400,1400,1400,1400,1400,1400,1450,1450,1490,1495,1550,1500,1550,1600,1600,1605,1600,1550,1500,1500,1599,1600,1600,1600,1600,1595,1550,1550,1550,1575,1600,1600,1645,1650,1650,1700,1650,1675,1700,1700,1700,1725,1750,1700,1695,1670,1600,1600,1600,1600,1750,1595,1600,1650
"Illinois",5,1600,1500,1500,1500,1500,1500,1500,1500,1500,1550,1575,1600,1500,1500,1500,1545,1550,1575,1599,1575,1558,1515,1500,1500,1500,1500,1545,1500,1500,1549,1525,1550,1500,1500,1480.5,1500,1500,1495,1500,1500,1515,1505,1550,1550,1550,1550,1525,1550,1528,1500,1500,1500,1595,1600,1600,1600,1600,1600,1550,1568,1550,1575,1595,1600,1600,1600,1600,1600,1600,1562,1590,1550,1550,1575,1595,1600,1600,1600,1600,1595,1550,1550,1549,1525,1500,1536
"Pennsylvania",6,,1400,1392.5,1400,1400,1400,1400,1425,1400,1400,1375,1350,1295,1250,1275,1300,1300,1300,1300,1300,1295,1200,1200,1200,1200,1200,1250,1275,1300,1295,1300,1250,1200,1200,1200,1195,1200,1200,1250,1270,1300,1300,1250,1200,1250,1250,1250,1250,1200,1200,1200,1250,1350,1375,1350,1300,1300,1295,1250,1250,1256.5,1295,1300,1350,1395,1399,1395,1350,1300,1300,1300,1275,1295,1295,1345,1375,1395,1350,1300,1300,1295,1275,1280,1250,1250,1295
"Ohio",7,,,1175,1200,1175,1200,1200,1200,1050,1050,1100,1050,895,875,875,980,1000,995,1000,975,975,949,900,895,950,950,950,825,800,850,845,850,850,850,890,847,800,799,800,800,825,815,800,825,925,975,900,995,939,917.5,900,900,1000,995,900,900,975,975,950,950,950,955,995,999,1019,1050,1000,1000,1000,1000,1025,1000,1000,1000,1100,1100,1075,1090,1100,1055,985,995,975,950,975,975
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,800,800,800,800,825,850,850,800,809,850,850,850,850,800,800,805,850,850,850,850,850,850,900,900,895,900,895,879.5,895,895,900,900,900,900,925,950,875,910,900,900,925,950,950,950,950,950,975,985,990,975,975,950,995,1000,1000,1000,1050,1050,1000,1050,1050,1000,1000,1000
"Georgia",9,1074.5,1150,1195,1200,1200,1200,1200,1200,1200,1195,1150,1200,1100,1100,1100,1150,1150,1150,1100,1100,1100,1099,1050,1050,1000,1000,1050,1000,1050,1050,1050,1050,1050,1000,1000,1000,1000,975,1000,1000,1050,1050,1050,1045,1050,1050,1050,1075,1050,1050,1050,1050,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1195,1175,1150,1150,1130,1150,1150,1150,1150,1195,1200,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250
"North Carolina",10,,1025,1000,1050,1100,1100,1100,1150,1150,1100,1100,1150,1000,995,995,1000,1025,1025,1000,1000,1000,999,995,995,995,1000,1000,1000,1050,1050,1050,1000,995,995,995,995,985,975,995,1000,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1100,1100,1100,1100,1099,1100,1095,1095,1100,1100,1100,1150,1125,1125,1135,1100,1100,1100,1100,1100,1100,1100,1150,1175,1175,1175,1200,1200,1175,1175,1150,1150,1200,1200
"New Jersey",11,,1600,1625,1650,1650,1650,1600,1600,1600,1650,1650,1700,1677.5,1650,1650,1700,1750,1750,1750,1700,1690,1600,1800,1850,1825,1850,1900,1905,1950,1950,1900,1850,1800,1800,1800,1775,1795,1800,1825,1850,1950,1800,1750,1750,1700,1750,1700,1750,1750,1750,1750,1750,1850,1850,1850,1850,1800,1800,1750,1755,1800,1800,1850,1875,1900,1900,1900,1900,1850,1800,1800,1800,1850,1850,1875,1900,1900,1950,1900,1900,1850,1850,1800,1800,1800,1850
"Virginia",12,,1350,1350,1350,1400,1450,1500,1450,1395,1350,1375,1400,1350,1350,1400,1450,1500,1500,1500,1495,1445,1400,1395,1395,1390,1395,1400,1400,1475,1500,1500,1475,1450,1450,1450,1425,1400,1450,1495,1495,1500,1549,1542.5,1545,1550,1550,1500,1500,1500,1495,1495,1500,1595,1600,1650,1625,1600,1595,1595,1550,1550,1550,1575,1600,1600,1650,1650,1650,1600,1600,1595,1550,1550,1550,1595,1600,1650,1625,1695,1650,1600,1600,1595,1550,1550,1550
"Washington",13,1200,1200,1350,1350,1375,1400,1495,1550,1500,1495,1450,1395,1395,1395,1395,1400,1450,1450,1425,1395,1350,1350,1300,1295,1295,1295,1300,1306,1350,1350,1350,1350,1350,1345,1300,1295,1295,1295,1295,1300,1350,1395,1350,1395,1400,1450,1475,1495,1450,1450,1449,1425,1490,1495,1495,1500,1500,1500,1499,1495,1496,1499,1500,1500,1550,1595,1599,1650,1600,1600,1600,1600,1600,1603.5,1600,1600,1650,1687.5,1725,1700,1725,1700,1695,1695,1775,1795
"Massachusetts",14,,1447.5,1490,1575,1600,1800,1600,1600,1600,1650,1695,1740,1800,1750,1700,1800,1800,1850,1900,1900,1850,1800,1800,1800,1800,1900,1950,1995,2000,2000,2025,2000,2000,2000,2000,2000,2100,2140,2100,2200,2200,2200,2250,2200,2200,2225,2200,2200,2250,2208,2200,2250,2400,2400,2400,2400,2300,2250,2250,2300,2400,2495,2450,2475,2495,2500,2500,2400,2400,2325,2350,2400,2500,2598,2500,2500,2500,2500,2500,2495,2400,2376,2400,2395,2482,2500
"Indiana",15,,1175,1200,1250,1250,1250,1295,1300,1162.5,1150,1150,1095,950,925,950,950,950,899,850,850,825,825,825,825,850,892.5,850,800,795,795,800,825,825,825,800,750,750,775,800,825,850,850,875,850,900,925,900,950,950,900,900,925,999,985,925,962.5,995,995,950,950,950,992.5,1000,1045,1050,1000,995,975,950,950,950,900,925,950,995,1000,1025,1032.5,1050,1000,981,962.5,1000,995,995,1000
"Arizona",16,,,1400,1395,1300,1299,1250,1295,1250,1200,1240,1200,1150,1125,1125,1150,1150,1125,1100,1100,1099,1095,1095,1090,1095,1095,1100,1100,1100,1100,1100,1100,1100,1095,1095,1095,1095,1095,1095,1100,1100,1099,1098,1050,1100,1100,1100,1100,1100,1100,1100,1100,1175,1185,1175,1190,1170,1150,1175,1175,1185,1200,1200,1250,1250,1250,1225,1225,1200,1200,1225,1250,1250,1250,1295,1299,1250,1250,1250,1250,1225,1250,1250,1200,1250,1295
"Tennessee",17,,,1195,1250,1350,1395,1300,1250,1250,1250,1200,1185,1050,1000,1050,1125,1195,1195,1150,1150,1100,1095,1089,1050,1050,1095,1100,1100,1100,1100,1100,1100,1075,1050,1012.5,995,995,975,995,995,975,1000,1000,995,1000,1095,1095,1095,1075,1045,1050,1050,1100,1100,1100,1100,1100,1100,1100,1095,1095,1095,1100,1100,1100,1145,1150,1150,1100,1100,1117.5,1100,1100,1120,1150,1195,1195,1195,1200,1195,1195,1150,1195,1150,1195,1195
"Missouri",18,,1175,1200,1100,1125,1062.5,1000,1095,1050,1000,1000,1000,900,900,950,995,1000,975,950,950,950,950,950,945,985,925,950,950,912,925,900,900,900,890,875,850,850,850,850,850,850,850,850,850,850,895,875,895,875,850,850,875,900,900,925,900,900,900,895,875,895,875,895,895,900,925,900,900,900,900,880,870,875,895,900,900,947.5,950,950,950,925,925,900,950,900,900
"Maryland",19,,1600,1595,1600,1625,1700,1700,1700,1650,1650,1600,1600,1600,1595,1575,1600,1642.5,1650,1675,1650,1620,1600,1600,1600,1600,1595,1600,1495,1500,1550,1550,1575,1550,1550,1575,1520,1525,1545,1575,1590,1599,1600,1600,1600,1600,1650,1600,1695,1650,1600,1600,1600,1700,1700,1750,1750,1700,1700,1695,1695,1695,1695,1700,1700,1700,1750,1750,1700,1700,1695,1675,1650,1650,1650,1650,1695,1700,1700,1750,1750,1675,1695,1675,1650,1650,1650
"Wisconsin",20,,,,,,,,,,900,1000,1100,1050,995,995,1050,1095,1195,1195,1095,1095,1050,1095,1109,1120,1090,1100,1150,1100,1100,1099,1135,1150,1195,1195,1135,995,995,1000,1025,1095,1000,975,995,1150,1195,1200,1200,1150,1100,1060,1100,1150,1125,1130,1112.5,1200,1200,1100,1095,1100,1095,1105,1105,1100,1100,1100,1142.5,1080,1095,1065,1080,1095,1150,1195,1150,1195,1075,1150,1095,1095,1100,1095,1000,1150,1175
"Minnesota",21,,,,1700,1495,1647.5,1700,1625,1465,1399,1395,1400,1300,1300,1300,1350,1350,1350,1350,1350,1300,1300,1295,1295,1295,1295,1295,1295,1295,1300,1300,1295,1350,1350,1300,1329.5,1300,1299.5,1300,1300,1345,1325,1295,1295,1350,1350,1395,1395,1395,1395,1390,1375,1375,1395,1395,1395,1395,1395,1395,1385,1375,1395,1395,1395,1400,1400,1400,1400,1400,1400,1400,1399,1400,1400,1400,1400,1400,1400,1435,1400,1400,1395,1400,1400,1450,1450
"Colorado",22,,,,,,,,,,,,,,,,1295,1295,1275,1250,1250,1250,1250,1200,1200,1200,1200,1250,1275,1250,1295,1295,1295,1295,1295,1255,1250,1295,1295,1295,1325,1295,1295,1300,1295,1300,1350,1360,1350,1350,1350,1350,1350,1395,1400,1425,1450,1495,1495,1495,1450,1495,1500,1590,1600,1600,1600,1650,1695,1695,1695,1667,1650,1695,1695,1700,1700,1700,1695,1650,1720,1695,1695,1695,1650,1700,1750
"Alabama",23,,,897.5,1050,1095,1100,1100,1050,990,950,985,975,950,950,950,995,995,950,955,950,900,900,950,995,950,975,995,825,800,850,850,850,825,850,852.5,827.5,825,825,850,850,835,825,840,849,900,900,850,900,850,850,850,850,925,950,950,950,950,925,915,925,900,900,900,900,950,950,950,925,900,925,925,925,950,940,950,950,950,1000,995,995,925,950,975,925,975,995
"South Carolina",24,,,1100,1200,1200,1200,1187.5,1195,1150,1100,1100,1100,1050,1000,1050,1100,1150,1100,1100,1100,1095,1050,1050,1050,1050,1050,1100,1050,1100,1100,1100,1100,1100,1100,1095,1075,1050,1050,1075,1100,1100,1100,1100,1147,1175,1195,1150,1150,1150,1125,1100,1125,1192.5,1195,1195,1200,1200,1175,1175,1175,1195,1200,1200,1225,1240,1230,1225,1225,1200,1200,1195,1195,1200,1200,1250,1250,1250,1260,1250,1250,1200,1200,1210,1200,1225,1250
"Louisiana",25,,1175,1200,1200,1250,1200,1300,1200,1100,1072.5,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1112.5,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1150,1100,1100,1122.5,1150,1150,1150,1195,1195,1100,1100,1150,1200,1200,1200,1200,1150,1150,1150,1200,1200,1200,1200,1200,1200,1200,1200,1200,1195,1200,1250,1250,1250,1295,1300,1250,1200,1200,1200,1200,1200,1250,1275,1250,1200,1250,1250,1200,1200,1200,1200,1200,1200
"Kentucky",26,,,,1197.5,1200,1200,1200,1100,1000,1000,1050,1050,925,895,895,950,950,925,979,995,950,940,900,900,895,899.5,900,895,850,850,835,850,950,850,850,850,849,825,850,850,850,850,850,850,900,949,875,900,900,895,895,895,950,950,950,959,995,975,985,985,975,985,995,1000,1000,995,1000,1000,995,975,980,975,990,995,999,1000,1000,1000,1047,1000,999,999,1000,995,1000,1000
"Oregon",27,,,,,,,,,,,,,1075,1075,1050,1100,1125,1150,1195,1195,1195,1195,1150,1150,1100,1100,1125,1150,1150,1195,1195,1195,1200,1195,1195,1150,1140,1125,1100,1099.5,1150,1175,1150,1195,1245,1275,1270,1250,1225,1200,1200,1245,1295,1295,1350,1395,1395,1395,1395,1395,1375,1350,1395,1395,1395,1400,1487.5,1500,1500,1500,1495,1495,1495,1500,1550,1550,1550,1495,1575,1595,1595,1595,1595,1545,1595,1650
"Oklahoma",28,,,,,,,,,,995,1075,1075,975,895,895,875,875,925,895,850,875,850,850,850,875,875,900,825,845,850,850,900,867.5,899,925,887.5,850,850,895,875,895,900,895,895,950,995,995,1000,995,995,995,1000,1100,1100,1122.5,1125,1095,1095,1050,1050,1025,1050,1100,1150,1150,1150,1150,1100,1075,1045,1050,1000,1000,1025,1095,1050,1050,1050,1000,1025,1000,995,1000,995,995,995
"Connecticut",29,,1600,1700,1850,1800,2000,1812.5,1800,1650,1607,1600,1700,1700,1700,1750,1850,1950,1900,1800,1750,1700,1650,1650,1600,1600,1600,1600,1620,1600,1650,1600,1600,1553,1500,1500,1450,1450,1450,1450,1500,1575,1575,1550,1595,1695,1700,1650,1650,1600,1600,1600,1600,1750,1795,1800,1750,1700,1650,1650,1600,1650,1650,1700,1699,1700,1700,1700,1700,1695,1650,1650,1600,1600,1650,1700,1700,1700,1650,1650,1650,1600,1600,1600,1600,1600,1600
"Iowa",30,,,,,,,,,,,,,,,,,1000,1100,950,860,955,1050,1000,975,950,975,995,900,897.5,860,900,925,950,975,975,950,900,900,900,925,950,950,895,895,975,1000,995,1000,995,975,985,990,1050,1050,975,950,1025,1000,925,1000,925,935,1025,1041.5,1100,1050,1050,1050,1020,1020,1050,1050,1095,1095,1095,1100,1100,1050,1050,1045,1025,1050,1050,1020,1029,1044
"Mississippi",31,,,,,,,,,,,,850,800,850,862.5,900,900,885,850,850,895,900,895,950,950,900,897,870,875,852.5,850,850,890,875,850,900,900,880,895,895,889,860,860,860,900,900,875,900,900,900,900,900,900,950,950,995,975,975,995,975,972.5,950,1000,1000,1025,1000,1000,1045,995,975,995,975,900,950,1000,999.5,1097.5,1050,1010,997,1025,1000,1000,1050,1000,1050
"Arkansas",32,,862.5,900,837.5,850,900,895,895,850,850,875,850,850,797.5,800,850,875,895,875,850,875,850,850,875,850,850,875,850,850,895,900,900,900,900,900,895,895,875,900,910,900,900,900,900,916,950,950,925,950,950,950,950,995,995,950,950,975,975,975,975,995,999,1000,1000,1000,995,995,1000,995,995,1000,1000,1000,1000,1075,1050,1050,1012.5,1000,995,975,1000,995,990,975,1000
"Kansas",33,,,,,,,,,,,,,,,,,897,930,850,800,900,950,895,882.5,897,935,975,1050,1047.5,1000,995,995,995,950,950,925,900,950,990,1000,1050,999,935,907,950,1000,975,995,995,990,990,995,1050,1095,1050,1050,1050,1025,1050,1000,1012.5,1050,1072.5,1100,1100,1100,1095,1050,1000,1020,1000,1022,1050,1095,1095,1095,1147.5,1100,1100,1045,1000,995,950,999.5,1000,1050
"Utah",34,,,,,,,,,,,,,,,1195,1150,1150,1195,1195,1150,1100,1099,1100,1095,1095,1095,1050,1100,1100,1100,1100,1100,1150,1150,1195,1150,1145,1150,1150,1150,1150,1162.5,1195,1195,1245,1250,1225,1200,1200,1195,1195,1195,1195,1200,1200,1200,1250,1250,1200,1225,1200,1225,1250,1250,1250,1250,1250,1200,1225,1245,1200,1225,1200,1225,1250,1220.5,1250,1275,1295,1300,1300,1300,1300,1295,1300,1300
"Nevada",35,,1250,1250,1200,1200,1100,1150,1200,1200,1200,1195,1100,1150,1150,1100,1150,1195,1195,1195,1195,1150,1150,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1150,1150,1150,1150,1195,1195,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250,1210,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1295,1250,1250,1250,1250,1295,1250,1295,1300
"New Mexico",36,,,,,,,,,1172.5,1112.5,1100,1100,1050,995,1050,1100,1100,1150,1185,1150,1150,1102.5,1100,1100,1100,1095,1100,1050,1050,1075,1075,1100,1100,1050,1050,1020,1025,1050,1000,1050,1095,1095,1095,1100,1150,1130,1100,1100,1100,1095,1095,1095,1095,1100,1100,1145,1100,1100,1100,1100,1100,1095,1100,1100,1125,1150,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1125,1100,1175,1150,1100,1100,1132.5,1125
"West Virginia",37,,,,,1250,1250,1250,1185,1175,1237.5,1200,1125,1100,1097.5,1025,1200,1200,1250,1200,1200,1200,1100,1050,1100,975,995,1000,1050,1075,1150,1200,1200,1200,1100,1100,1100,1000,996,997,1000,1000,1097.5,975,1000,1100,1100,1100,1100,1000,1022.5,1000,1000,1100,1100,1195,1100,1100,1100,1082.5,1100,1100,1095,1100,1100,1100,1100,1100,1100,1100,1025,1025,1020,1050,1050,1100,1100,1065.5,1000,1100,1050,1050,1000,1000,950,1000,1000
"Idaho",38,,,,,,,,,,,,,,,850,875,850,825,825,850,850,845,800,812.5,825,800,795,825,850,850,850,850,850,850,850,850,825,800,825,825,825,850,850,850,850,895,895,875,895,895,895,900,900,925,925,950,950,975,975,950,950,950,950,950,975,980,995,995,995,975,950,975,950,950,975,975,995,995,999,1075,1025,1050,1000,995,1095,1100
"Hawaii",39,,,,,,,,,,,,,,1850,1900,1800,1800,1800,1850,1800,1800,1800,1800,1875,1800,1900,1900,2000,1995,1950,1900,1900,1900,1900,1950,1975,2000,2000,2000,2100,2100,2100,1995,1950,2000,2000,1995,2000,2000,2000,1900,1900,2100,2100,2050,2000,2100,2200,2200,2200,2285,2297.5,2263.5,2350,2400,2400,2400,2350,2300,2300,2300,2300,2300,2300,2350,2400,2347,2300,2300,2300,2200,2200,2200,2100,2200,2295
"Maine",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1300,1312.5,1350,1300,1397.5,1550,1500,1600,1597.5,1500,1500,1500,1495,1412.5,1350,1350,1400,1475,1500,1500,1350,1385,1450,1400,1500,1400,1385,1395,1562.5
"New Hampshire",41,,,,,,,,,,,,,,,,,,,1400,1400,1375,1300,1300,1300,1275,1250,1300,1350,1350,1350,1350,1400,1400,1400,1400,1400,1350,1300,1250,1350,1362.5,1400,1350,1300,1395,1500,1497.5,1450,1400,1400,1400,1400,1425,1437.5,1500,1400,1400,1400,1400,1400,1400,1375,1400,1400,1475,1500,1500,1500,1500,1500,1500,1495,1500,1450,1450,1495,1500,1550,1600,1500,1550,1500,1500,1500,1500,1500
"Rhode Island",42,,,,,,,,,,,,,,,,,,,,,1650,1500,1500,1500,1600,1650,1600,1600,1600,1600,1600,1600,1600,1550,1500,1500,1500,1500,1500,1500,1500,1400,1400,1325,1400,1600,1600,1600,1600,1600,1600,1600,1787.5,1700,1650,1600,1600,1600,1600,1600,1750,1800,1800,1850,1800,1750,1700,1650,1695,1700,1700,1750,1800,1875,1850,1850,1750,1700,1725,1750,1750,1700,1600,1650,1750,1900
"Montana",43,,,,,,,,,,,,,,,,,,,,,,,,,825,850,825,895,900,900,900,925,950,995,925,900,900,995,975,900,875,900,925,935,925,995,1000,925,925,950,925,950,950,975,1050,1050,995,1025,850,900,950,995,982.5,995,995,1000,1100,1100,1142.5,1095,995,995,1050,1000,1000,975,1100,1095,1145,1000,1100,1150,1175,1150,1095,1095
