Date,Industrial Inputs Price Index,Metals Price Index,Tin,Iron,Copper
2000,77.21395480013973,62.16092065117512,5418.003260869566,12.45,1805.08392857143
2001,74.469547315081,56.33317902457941,4586.747835497836,12.99,1568.6197510822499
2002,72.06154722810413,54.5336222148026,4089.6471861471846,12.68,1584.660248447205
2003,73.98367107160956,59.21583534231405,4733.63043478261,13.82,1698.9666149068298
2004,89.2389456645922,81.35923220971199,9018.555194805194,16.39,2873.688744588745
2005,99.29295270001398,98.73199283138854,7416.25,28.11,3569.10173160173
2006,141.95846143961325,164.26263864668556,8614.924242424244,33.45,7126.0340909090955
2007,150.9212591618861,179.90073148733126,14447.4350649351,36.63,7507.221320346325
2008,154.94281931121571,182.3368952523171,19052.83492822965,60.8,7787.471428571429
2009,116.77062489818097,135.45907984439873,14332.62045454545,78.15181818181819,5127.063582251085
2010,166.36508037788963,198.80925459849715,18420.561363636363,144.48636363636365,7417.177934782607
2011,205.55658259738908,237.5871399441411,26458.88852813853,175.03559523809523,9032.420454545454
2012,165.45678759164903,189.21553219602634,21002.47907608696,131.7473684210526,8014.201754385966
2013,161.60710931775827,179.00184537012547,22748.598214285714,136.05714285714285,7208.960869565217
2014,155.08680022637404,164.75279465199085,22327.53043478261,94.35838509316768,6846.679383116883
2015,125.4212791195892,128.2080073500147,15623.977272727272,55.90638528138528,5593.0125
2016,107.3490188602425,106.29697048201909,14709.10892857143,43.71428571428571,4535.203273809524
